Period	Month	Year	Subscribers	PctGrowth	SubscribeTo1/4	LogSubscribers	SqrtSubscribers	ResidualsSubscribeTo1/4	MilSub
1	12	1984	91600	NA	17.39698	11.42519	302.6549	-0.52753	0.0916
2	6	1985	203600	122.2707	21.24195	12.22391	451.2206	0.770035	0.2036
3	12	1985	340213	67.09872	24.15115	12.73733	583.2778	1.131819	0.340213
4	6	1986	500000	46.96675	26.59148	13.12236	707.1068	1.024745	0.5
5	12	1986	681825	36.365	28.73547	13.43253	825.727	0.621323	0.681825
6	6	1987	883779	29.61962	30.66097	13.69196	940.0952	-0.00058	0.883779
7	12	1987	1230860	39.27237	33.30828	14.02322	1109.441	0.099319	1.23086
8	6	1988	1608700	30.69724	35.61384	14.29094	1268.345	-0.14253	1.6087
9	12	1988	2060440	28.08106	37.88698	14.53843	1435.423	-0.41679	2.06044
10	6	1989	2691790	30.64151	40.50515	14.80572	1640.668	-0.34603	2.69179
11	12	1989	3500940	30.05992	43.25598	15.06854	1871.08	-0.14261	3.50094
12	6	1990	4368690	24.7862	45.71806	15.28997	2090.141	-0.22794	4.36869
13	12	1990	5283060	20.93007	47.94258	15.48002	2298.491	-0.55083	5.28306
14	6	1991	6380050	20.76429	50.25809	15.66869	2525.876	-0.78272	6.38005
15	12	1991	7557150	18.4497	52.43117	15.838	2749.027	-1.15706	7.55715
16	6	1992	8892540	17.67055	54.60802	16.00072	2982.036	-1.52761	8.89254
17	12	1992	11032800	24.06804	57.63303	16.21638	3321.566	-1.05001	11.0328
18	6	1993	13067300	18.44047	60.12381	16.38562	3614.872	-1.10664	13.0673
19	12	1993	16009500	22.51575	63.25494	16.58869	4001.187	-0.52291	16.0095
20	6	1994	19283300	20.44911	66.2667	16.77475	4391.275	-0.05856	19.2833
21	12	1994	24134400	25.157	70.09049	16.99915	4912.677	1.217825	24.1344
22	6	1995	28154415	16.65678	72.8428	17.15321	5306.073	1.422722	28.15442
23	12	1995	33785661	20.00129	76.24004	17.33555	5812.543	2.272553	33.78566
