Case	CouponRate	BidPrice TaxAdventages
1	7	92.94     N
2	9	101.44    N
3	7	92.66     N
4	4.125	94.50     Y
5	13.125	118.94    N
6	8	96.75     N
7	8.75	100.88    N
8	12.625	117.25    N
9	9.5	103.34    N
10	10.125	106.25    N
11	11.625	113.19    N
12	8.625	99.44     N
13	3	94.50     Y
14	10.5	108.31    N
15	11.25	111.69    N
16	8.375	98.09     N
17	10.375	107.91    N
18	11.25	111.97    N
19	12.625	119.06    N
20	8.875	100.38    N
21	10.5	108.5     N
22	8.625	99.25     N
23	9.5	103.63    N
24	11.5	114.03    N
25	8.875	100.38    N
26	7.375	92.06     N
27	7.25	90.88     N
28	8.625	98.41     N
29	8.5	97.75     N
30	8.875	99.88     N
31	8.125	95.16     N
32	9	100.66    N
33	9.25	102.31    N
34	7	88        N
35	3.5	94.53     Y
