Price Bedroom Space  Room  Lot   Tax   Bathroom  Garage   Condition
 53    2  967   5   39    652   1.5   0.0    0 
 55    2  815   5   33   1000   1.0   2.0    1 
 56    3  900   5   35    897   1.5   1.0    0 
 58    3  1007  6   24    964   1.5   2.0    0 
 64    3  1100  7   50   1099   1.5   1.5    0 
 44    4  897   7   25    960   2.0   1.0    0 
 49    5  1400  8   30    678   1.0   1.0    1 
 70    3  2261  6   29   2700   1.0   2.0    0 
 72    4  1290  8   33    800   1.5   1.5    0 
 82    4  2104  9   40   1038   2.5   1.0    1 
 85    8  2240  12  50   1200   3.0   2.0    0 
 45    2   641  5   25    860   1.0   0.0    0 
 47    3   862  6   25    600   1.0   0.0    0 
 49    4   1043 7   30    676   1.5   0.0    0 
 56    4   1325 8   50   1287   1.5   0.0    0 
 60    2    782 5   25    834   1.0   0.0    0 
 62    3   1126 7   30    734   2.0   0.0    1 
 64    4   1226 8   37    551   2.0   2.0    0 
 66    2    929 5   30   1355   1.0   1.0    0 
 35    4   1137 7   25    561   1.5   0.0    0 
 38    3    743 6   25    489   1.0   0.0    0 
 43    3    596 5   50    752   1.0   0.0    0 
 46    2    803 5   27    774   1.0   0.0    1 
 46    2    696 4   30    440   2.0   1.0    0 
 50    2    691 6   30    549   1.0   2.0    1 
 65    3   1023 7   30    900   2.0   1.0    0 
