 Country         	Pop15  	Pop75        dpi 		ddpi 	Savings
Australia		29.35	2.87	2329.68		2.87    	11.43
Austria		23.32	4.41	1507.99  		3.93    	12.07
Belgium		23.8	4.43	2108.47  		3.82    	13.17
Bolivia		41.89	1.67	189.13  		0.22     	5.75
Brazil		42.19	0.83	728.47  		4.56    	12.88
Canada		31.72	2.85	2982.88  		2.43     	8.79
Chile		39.74	1.34	662.86  		2.67     	0.6
Taiwan		44.75	0.67	289.52  		6.51    	11.9
Colombia		46.64	1.06 	276.65  		3.08     	4.98
CostaRica 	47.64	1.14	471.24  		2.8     	10.78
Denmark		24.42	3.93 	2496.53  		3.99    	16.85
Ecuador		46.31	1.19	287.77  		2.19     	3.59
Finland		27.84	2.37    	1681.25  		4.32    	11.24
France		25.06	4.7     	2213.82  		4.52    	12.64
Germany		23.31	3.35    	2457.12  		3.44    	12.55
Greece		25.62	3.1      	870.85  		6.28    	10.67
Guatemala	46.05	0.87     	289.71  		1.48     	3.01
Honduras		47.32	0.58     	232.44  		3.19     	7.7
Iceland		34.03	3.08    	1900.1   		1.12     	1.27
India		41.31	0.96      	88.94  		1.54     	9
Ireland		31.16	4.19    	1139.95  		2.99    	11.34
Italy		24.52	3.48    	1390.99  		3.54    	14.28
Japan		27.01	1.91    	1257.28  		8.21    	21.1
Korea		41.74	0.91    	207.68  		5.81     	3.98
Luxembourg	21.8	3.73    	2449.39  		1.57    	10.35
Malta		32.54	2.47    	601.05  		8.12    	15.48
Norway		25.96	3.67    	2231.03  		3.62    	10.25
Netherlands	24.71	3.25    	1740.7   		7.66    	14.65
NewZealand	32.61	3.17    	1487.52  		1.76    	10.67
Nicaragua 	45.04	1.21     	325.54  		2.48     	7.3
Panama		43.56	1.2      	568.56  		3.61     	4.44
Paraguay		41.18	1.05     	220.56  		1.03     	2.02
Peru		44.19	1.28     	400.06  		0.67    	12.7
Philippines	46.26	1.12     	152.01  		2       	12.78
Portugal		28.96	2.85     	579.91  		7.48    	12.49
SouthAfrica	31.94	2.28     	651.11  		2.19    	11.14
Rhodesia		31.92	1.52     	250.96  		2       	13.3
Spain		27.74	2.87     	768.79  		4.35    	11.77
Sweden		21.44	4.54    	3299.49  		3.01   	6.86
Switzerland	23.49	3.73    	2630.96  		2.7     	14.13
Turkey		43.42	1.08     	389.66  		2.96     	5.13
Tunisia		46.12	1.21     	249.87  		1.13     	2.81
UnitedKingdom	23.27	4.46    	1813.93 		 2.01     	7.81
UnitedStates	29.81	3.43    	4001.89  		2.45     	7.56
Venezuela	46.4	0.9      	813.39  		0.53     	9.22
Zambia		45.25	0.56     	138.33  		5.14    	18.56
Jamaica		41.12	1.73     	380.47  		10.23    	7.72
Uruguay		28.13	2.72     	766.54  		1.88     	9.24
Libya		43.69	2.07     	123.58  		16.71    	8.89
Malaysia		47.2	0.66     	242.69  		5.08     	4.71

